기준월,대분류,지표명,항목,값,단위,출처
2017-05-01,PF금리,CD(91일) 수익률,CD(91일),1.393,%,ECOS
2017-06-01,PF금리,CD(91일) 수익률,CD(91일),1.38,%,ECOS
2017-07-01,PF금리,CD(91일) 수익률,CD(91일),1.389,%,ECOS
2017-08-01,PF금리,CD(91일) 수익률,CD(91일),1.389,%,ECOS
2017-09-01,PF금리,CD(91일) 수익률,CD(91일),1.38,%,ECOS
2017-10-01,PF금리,CD(91일) 수익률,CD(91일),1.384,%,ECOS
2017-11-01,PF금리,CD(91일) 수익률,CD(91일),1.45,%,ECOS
2017-12-01,PF금리,CD(91일) 수익률,CD(91일),1.66,%,ECOS
2018-01-01,PF금리,CD(91일) 수익률,CD(91일),1.655,%,ECOS
2018-02-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-03-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-04-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-05-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-06-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-07-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-08-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-09-01,PF금리,CD(91일) 수익률,CD(91일),1.65,%,ECOS
2018-10-01,PF금리,CD(91일) 수익률,CD(91일),1.678,%,ECOS
2018-11-01,PF금리,CD(91일) 수익률,CD(91일),1.709,%,ECOS
2018-12-01,PF금리,CD(91일) 수익률,CD(91일),1.905,%,ECOS
2019-01-01,PF금리,CD(91일) 수익률,CD(91일),1.866,%,ECOS
2019-02-01,PF금리,CD(91일) 수익률,CD(91일),1.874,%,ECOS
2019-03-01,PF금리,CD(91일) 수익률,CD(91일),1.895,%,ECOS
2019-04-01,PF금리,CD(91일) 수익률,CD(91일),1.86,%,ECOS
2019-05-01,PF금리,CD(91일) 수익률,CD(91일),1.84,%,ECOS
2019-06-01,PF금리,CD(91일) 수익률,CD(91일),1.804,%,ECOS
2019-07-01,PF금리,CD(91일) 수익률,CD(91일),1.68,%,ECOS
2019-08-01,PF금리,CD(91일) 수익률,CD(91일),1.491,%,ECOS
2019-09-01,PF금리,CD(91일) 수익률,CD(91일),1.536,%,ECOS
2019-10-01,PF금리,CD(91일) 수익률,CD(91일),1.458,%,ECOS
2019-11-01,PF금리,CD(91일) 수익률,CD(91일),1.518,%,ECOS
2019-12-01,PF금리,CD(91일) 수익률,CD(91일),1.53,%,ECOS
2020-01-01,PF금리,CD(91일) 수익률,CD(91일),1.465,%,ECOS
2020-02-01,PF금리,CD(91일) 수익률,CD(91일),1.416,%,ECOS
2020-03-01,PF금리,CD(91일) 수익률,CD(91일),1.23,%,ECOS
2020-04-01,PF금리,CD(91일) 수익률,CD(91일),1.1,%,ECOS
2020-05-01,PF금리,CD(91일) 수익률,CD(91일),1.022,%,ECOS
2020-06-01,PF금리,CD(91일) 수익률,CD(91일),0.793,%,ECOS
2020-07-01,PF금리,CD(91일) 수익률,CD(91일),0.787,%,ECOS
2020-08-01,PF금리,CD(91일) 수익률,CD(91일),0.68,%,ECOS
2020-09-01,PF금리,CD(91일) 수익률,CD(91일),0.63,%,ECOS
2020-10-01,PF금리,CD(91일) 수익률,CD(91일),0.63,%,ECOS
2020-11-01,PF금리,CD(91일) 수익률,CD(91일),0.66,%,ECOS
2020-12-01,PF금리,CD(91일) 수익률,CD(91일),0.66,%,ECOS
2021-01-01,PF금리,CD(91일) 수익률,CD(91일),0.678,%,ECOS
2021-02-01,PF금리,CD(91일) 수익률,CD(91일),0.733,%,ECOS
2021-03-01,PF금리,CD(91일) 수익률,CD(91일),0.748,%,ECOS
2021-04-01,PF금리,CD(91일) 수익률,CD(91일),0.737,%,ECOS
2021-05-01,PF금리,CD(91일) 수익률,CD(91일),0.682,%,ECOS
2021-06-01,PF금리,CD(91일) 수익률,CD(91일),0.663,%,ECOS
2021-07-01,PF금리,CD(91일) 수익률,CD(91일),0.694,%,ECOS
2021-08-01,PF금리,CD(91일) 수익률,CD(91일),0.765,%,ECOS
2021-09-01,PF금리,CD(91일) 수익률,CD(91일),0.981,%,ECOS
2021-10-01,PF금리,CD(91일) 수익률,CD(91일),1.076,%,ECOS
2021-11-01,PF금리,CD(91일) 수익률,CD(91일),1.168,%,ECOS
2021-12-01,PF금리,CD(91일) 수익률,CD(91일),1.272,%,ECOS
2022-01-01,PF금리,CD(91일) 수익률,CD(91일),1.394,%,ECOS
2022-02-01,PF금리,CD(91일) 수익률,CD(91일),1.5,%,ECOS
2022-03-01,PF금리,CD(91일) 수익률,CD(91일),1.503,%,ECOS
2022-04-01,PF금리,CD(91일) 수익률,CD(91일),1.63,%,ECOS
2022-05-01,PF금리,CD(91일) 수익률,CD(91일),1.77,%,ECOS
2022-06-01,PF금리,CD(91일) 수익률,CD(91일),1.986,%,ECOS
2022-07-01,PF금리,CD(91일) 수익률,CD(91일),2.407,%,ECOS
2022-08-01,PF금리,CD(91일) 수익률,CD(91일),2.79,%,ECOS
2022-09-01,PF금리,CD(91일) 수익률,CD(91일),3.014,%,ECOS
2022-10-01,PF금리,CD(91일) 수익률,CD(91일),3.693,%,ECOS
2022-11-01,PF금리,CD(91일) 수익률,CD(91일),3.992,%,ECOS
2022-12-01,PF금리,CD(91일) 수익률,CD(91일),4.021,%,ECOS
2023-01-01,PF금리,CD(91일) 수익률,CD(91일),3.801,%,ECOS
2023-02-01,PF금리,CD(91일) 수익률,CD(91일),3.519,%,ECOS
2023-03-01,PF금리,CD(91일) 수익률,CD(91일),3.607,%,ECOS
2023-04-01,PF금리,CD(91일) 수익률,CD(91일),3.498,%,ECOS
2023-05-01,PF금리,CD(91일) 수익률,CD(91일),3.644,%,ECOS
2023-06-01,PF금리,CD(91일) 수익률,CD(91일),3.751,%,ECOS
2023-07-01,PF금리,CD(91일) 수익률,CD(91일),3.747,%,ECOS
2023-08-01,PF금리,CD(91일) 수익률,CD(91일),3.702,%,ECOS
2023-09-01,PF금리,CD(91일) 수익률,CD(91일),3.763,%,ECOS
2023-10-01,PF금리,CD(91일) 수익률,CD(91일),3.822,%,ECOS
2023-11-01,PF금리,CD(91일) 수익률,CD(91일),3.833,%,ECOS
2023-12-01,PF금리,CD(91일) 수익률,CD(91일),3.834,%,ECOS
2024-01-01,PF금리,CD(91일) 수익률,CD(91일),3.737,%,ECOS
2024-02-01,PF금리,CD(91일) 수익률,CD(91일),3.685,%,ECOS
2024-03-01,PF금리,CD(91일) 수익률,CD(91일),3.654,%,ECOS
2024-04-01,PF금리,CD(91일) 수익률,CD(91일),3.575,%,ECOS
2024-05-01,PF금리,CD(91일) 수익률,CD(91일),3.596,%,ECOS
2024-06-01,PF금리,CD(91일) 수익률,CD(91일),3.601,%,ECOS
2024-07-01,PF금리,CD(91일) 수익률,CD(91일),3.541,%,ECOS
2024-08-01,PF금리,CD(91일) 수익률,CD(91일),3.497,%,ECOS
2024-09-01,PF금리,CD(91일) 수익률,CD(91일),3.521,%,ECOS
2024-10-01,PF금리,CD(91일) 수익률,CD(91일),3.43,%,ECOS
2024-11-01,PF금리,CD(91일) 수익률,CD(91일),3.423,%,ECOS
2024-12-01,PF금리,CD(91일) 수익률,CD(91일),3.349,%,ECOS
2025-01-01,PF금리,CD(91일) 수익률,CD(91일),3.037,%,ECOS
2025-02-01,PF금리,CD(91일) 수익률,CD(91일),2.947,%,ECOS
2025-03-01,PF금리,CD(91일) 수익률,CD(91일),2.842,%,ECOS
2025-04-01,PF금리,CD(91일) 수익률,CD(91일),2.739,%,ECOS
2025-05-01,PF금리,CD(91일) 수익률,CD(91일),2.671,%,ECOS
2025-06-01,PF금리,CD(91일) 수익률,CD(91일),2.567,%,ECOS
2025-07-01,PF금리,CD(91일) 수익률,CD(91일),2.513,%,ECOS
2025-08-01,PF금리,CD(91일) 수익률,CD(91일),2.513,%,ECOS
2025-09-01,PF금리,CD(91일) 수익률,CD(91일),2.558,%,ECOS
2025-10-01,PF금리,CD(91일) 수익률,CD(91일),2.545,%,ECOS
2025-11-01,PF금리,CD(91일) 수익률,CD(91일),2.687,%,ECOS
2025-12-01,PF금리,CD(91일) 수익률,CD(91일),2.835,%,ECOS
2026-01-01,PF금리,CD(91일) 수익률,CD(91일),2.705,%,ECOS
2026-02-01,PF금리,CD(91일) 수익률,CD(91일),2.779,%,ECOS
2026-03-01,PF금리,CD(91일) 수익률,CD(91일),2.821,%,ECOS
2026-04-01,PF금리,CD(91일) 수익률,CD(91일),2.819,%,ECOS
2026-05-01,PF금리,CD(91일) 수익률,CD(91일),2.821,%,ECOS
2026-06-01,PF금리,CD(91일) 수익률,CD(91일),2.913,%,ECOS
2026-07-01,PF금리,CD(91일) 수익률,CD(91일),2.91,%,ECOS
2015-01-01,PF금리,국고채(3년) 수익률,국고채(3년),2.039,%,ECOS
2015-02-01,PF금리,국고채(3년) 수익률,국고채(3년),2.024,%,ECOS
2015-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.865,%,ECOS
2015-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.739,%,ECOS
2015-05-01,PF금리,국고채(3년) 수익률,국고채(3년),1.875,%,ECOS
2015-06-01,PF금리,국고채(3년) 수익률,국고채(3년),1.773,%,ECOS
2015-07-01,PF금리,국고채(3년) 수익률,국고채(3년),1.777,%,ECOS
2015-08-01,PF금리,국고채(3년) 수익률,국고채(3년),1.735,%,ECOS
2015-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.651,%,ECOS
2015-10-01,PF금리,국고채(3년) 수익률,국고채(3년),1.627,%,ECOS
2015-11-01,PF금리,국고채(3년) 수익률,국고채(3년),1.752,%,ECOS
2015-12-01,PF금리,국고채(3년) 수익률,국고채(3년),1.719,%,ECOS
2016-01-01,PF금리,국고채(3년) 수익률,국고채(3년),1.628,%,ECOS
2016-02-01,PF금리,국고채(3년) 수익률,국고채(3년),1.474,%,ECOS
2016-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.498,%,ECOS
2016-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.468,%,ECOS
2016-05-01,PF금리,국고채(3년) 수익률,국고채(3년),1.454,%,ECOS
2016-06-01,PF금리,국고채(3년) 수익률,국고채(3년),1.334,%,ECOS
2016-07-01,PF금리,국고채(3년) 수익률,국고채(3년),1.218,%,ECOS
2016-08-01,PF금리,국고채(3년) 수익률,국고채(3년),1.238,%,ECOS
2016-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.312,%,ECOS
2016-10-01,PF금리,국고채(3년) 수익률,국고채(3년),1.361,%,ECOS
2016-11-01,PF금리,국고채(3년) 수익률,국고채(3년),1.609,%,ECOS
2016-12-01,PF금리,국고채(3년) 수익률,국고채(3년),1.692,%,ECOS
2017-01-01,PF금리,국고채(3년) 수익률,국고채(3년),1.643,%,ECOS
2017-02-01,PF금리,국고채(3년) 수익률,국고채(3년),1.665,%,ECOS
2017-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.709,%,ECOS
2017-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.678,%,ECOS
2017-05-01,PF금리,국고채(3년) 수익률,국고채(3년),1.69,%,ECOS
2017-06-01,PF금리,국고채(3년) 수익률,국고채(3년),1.673,%,ECOS
2017-07-01,PF금리,국고채(3년) 수익률,국고채(3년),1.74,%,ECOS
2017-08-01,PF금리,국고채(3년) 수익률,국고채(3년),1.78,%,ECOS
2017-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.785,%,ECOS
2017-10-01,PF금리,국고채(3년) 수익률,국고채(3년),2.026,%,ECOS
2017-11-01,PF금리,국고채(3년) 수익률,국고채(3년),2.15,%,ECOS
2017-12-01,PF금리,국고채(3년) 수익률,국고채(3년),2.1,%,ECOS
2018-01-01,PF금리,국고채(3년) 수익률,국고채(3년),2.19,%,ECOS
2018-02-01,PF금리,국고채(3년) 수익률,국고채(3년),2.277,%,ECOS
2018-03-01,PF금리,국고채(3년) 수익률,국고채(3년),2.271,%,ECOS
2018-04-01,PF금리,국고채(3년) 수익률,국고채(3년),2.192,%,ECOS
2018-05-01,PF금리,국고채(3년) 수익률,국고채(3년),2.25,%,ECOS
2018-06-01,PF금리,국고채(3년) 수익률,국고채(3년),2.175,%,ECOS
2018-07-01,PF금리,국고채(3년) 수익률,국고채(3년),2.097,%,ECOS
2018-08-01,PF금리,국고채(3년) 수익률,국고채(3년),2.019,%,ECOS
2018-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.953,%,ECOS
2018-10-01,PF금리,국고채(3년) 수익률,국고채(3년),2.01,%,ECOS
2018-11-01,PF금리,국고채(3년) 수익률,국고채(3년),1.94,%,ECOS
2018-12-01,PF금리,국고채(3년) 수익률,국고채(3년),1.825,%,ECOS
2019-01-01,PF금리,국고채(3년) 수익률,국고채(3년),1.807,%,ECOS
2019-02-01,PF금리,국고채(3년) 수익률,국고채(3년),1.802,%,ECOS
2019-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.789,%,ECOS
2019-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.736,%,ECOS
2019-05-01,PF금리,국고채(3년) 수익률,국고채(3년),1.679,%,ECOS
2019-06-01,PF금리,국고채(3년) 수익률,국고채(3년),1.496,%,ECOS
2019-07-01,PF금리,국고채(3년) 수익률,국고채(3년),1.382,%,ECOS
2019-08-01,PF금리,국고채(3년) 수익률,국고채(3년),1.164,%,ECOS
2019-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.287,%,ECOS
2019-10-01,PF금리,국고채(3년) 수익률,국고채(3년),1.357,%,ECOS
2019-11-01,PF금리,국고채(3년) 수익률,국고채(3년),1.492,%,ECOS
2019-12-01,PF금리,국고채(3년) 수익률,국고채(3년),1.39,%,ECOS
2020-01-01,PF금리,국고채(3년) 수익률,국고채(3년),1.373,%,ECOS
2020-02-01,PF금리,국고채(3년) 수익률,국고채(3년),1.253,%,ECOS
2020-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.091,%,ECOS
2020-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.024,%,ECOS
2020-05-01,PF금리,국고채(3년) 수익률,국고채(3년),0.878,%,ECOS
2020-06-01,PF금리,국고채(3년) 수익률,국고채(3년),0.85,%,ECOS
2020-07-01,PF금리,국고채(3년) 수익률,국고채(3년),0.826,%,ECOS
2020-08-01,PF금리,국고채(3년) 수익률,국고채(3년),0.829,%,ECOS
2020-09-01,PF금리,국고채(3년) 수익률,국고채(3년),0.908,%,ECOS
2020-10-01,PF금리,국고채(3년) 수익률,국고채(3년),0.91,%,ECOS
2020-11-01,PF금리,국고채(3년) 수익률,국고채(3년),0.965,%,ECOS
2020-12-01,PF금리,국고채(3년) 수익률,국고채(3년),0.97,%,ECOS
2021-01-01,PF금리,국고채(3년) 수익률,국고채(3년),0.975,%,ECOS
2021-02-01,PF금리,국고채(3년) 수익률,국고채(3년),0.995,%,ECOS
2021-03-01,PF금리,국고채(3년) 수익률,국고채(3년),1.133,%,ECOS
2021-04-01,PF금리,국고채(3년) 수익률,국고채(3년),1.138,%,ECOS
2021-05-01,PF금리,국고채(3년) 수익률,국고채(3년),1.134,%,ECOS
2021-06-01,PF금리,국고채(3년) 수익률,국고채(3년),1.302,%,ECOS
2021-07-01,PF금리,국고채(3년) 수익률,국고채(3년),1.419,%,ECOS
2021-08-01,PF금리,국고채(3년) 수익률,국고채(3년),1.411,%,ECOS
2021-09-01,PF금리,국고채(3년) 수익률,국고채(3년),1.515,%,ECOS
2021-10-01,PF금리,국고채(3년) 수익률,국고채(3년),1.842,%,ECOS
2021-11-01,PF금리,국고채(3년) 수익률,국고채(3년),1.953,%,ECOS
2021-12-01,PF금리,국고채(3년) 수익률,국고채(3년),1.8,%,ECOS
2022-01-01,PF금리,국고채(3년) 수익률,국고채(3년),2.06,%,ECOS
2022-02-01,PF금리,국고채(3년) 수익률,국고채(3년),2.285,%,ECOS
2022-03-01,PF금리,국고채(3년) 수익률,국고채(3년),2.369,%,ECOS
2022-04-01,PF금리,국고채(3년) 수익률,국고채(3년),2.941,%,ECOS
2022-05-01,PF금리,국고채(3년) 수익률,국고채(3년),3.019,%,ECOS
2022-06-01,PF금리,국고채(3년) 수익률,국고채(3년),3.477,%,ECOS
2022-07-01,PF금리,국고채(3년) 수익률,국고채(3년),3.238,%,ECOS
2022-08-01,PF금리,국고채(3년) 수익률,국고채(3년),3.247,%,ECOS
2022-09-01,PF금리,국고채(3년) 수익률,국고채(3년),3.903,%,ECOS
2022-10-01,PF금리,국고채(3년) 수익률,국고채(3년),4.235,%,ECOS
2022-11-01,PF금리,국고채(3년) 수익률,국고채(3년),3.895,%,ECOS
2022-12-01,PF금리,국고채(3년) 수익률,국고채(3년),3.63,%,ECOS
2023-01-01,PF금리,국고채(3년) 수익률,국고채(3년),3.46,%,ECOS
2023-02-01,PF금리,국고채(3년) 수익률,국고채(3년),3.47,%,ECOS
2023-03-01,PF금리,국고채(3년) 수익률,국고채(3년),3.461,%,ECOS
2023-04-01,PF금리,국고채(3년) 수익률,국고채(3년),3.263,%,ECOS
2023-05-01,PF금리,국고채(3년) 수익률,국고채(3년),3.33,%,ECOS
2023-06-01,PF금리,국고채(3년) 수익률,국고채(3년),3.548,%,ECOS
2023-07-01,PF금리,국고채(3년) 수익률,국고채(3년),3.638,%,ECOS
2023-08-01,PF금리,국고채(3년) 수익률,국고채(3년),3.727,%,ECOS
2023-09-01,PF금리,국고채(3년) 수익률,국고채(3년),3.842,%,ECOS
2023-10-01,PF금리,국고채(3년) 수익률,국고채(3년),4.031,%,ECOS
2023-11-01,PF금리,국고채(3년) 수익률,국고채(3년),3.771,%,ECOS
2023-12-01,PF금리,국고채(3년) 수익률,국고채(3년),3.35,%,ECOS
2024-01-01,PF금리,국고채(3년) 수익률,국고채(3년),3.266,%,ECOS
2024-02-01,PF금리,국고채(3년) 수익률,국고채(3년),3.351,%,ECOS
2024-03-01,PF금리,국고채(3년) 수익률,국고채(3년),3.31,%,ECOS
2024-04-01,PF금리,국고채(3년) 수익률,국고채(3년),3.439,%,ECOS
2024-05-01,PF금리,국고채(3년) 수익률,국고채(3년),3.432,%,ECOS
2024-06-01,PF금리,국고채(3년) 수익률,국고채(3년),3.262,%,ECOS
2024-07-01,PF금리,국고채(3년) 수익률,국고채(3년),3.083,%,ECOS
2024-08-01,PF금리,국고채(3년) 수익률,국고채(3년),2.924,%,ECOS
2024-09-01,PF금리,국고채(3년) 수익률,국고채(3년),2.868,%,ECOS
2024-10-01,PF금리,국고채(3년) 수익률,국고채(3년),2.911,%,ECOS
2024-11-01,PF금리,국고채(3년) 수익률,국고채(3년),2.858,%,ECOS
2024-12-01,PF금리,국고채(3년) 수익률,국고채(3년),2.59,%,ECOS
2025-01-01,PF금리,국고채(3년) 수익률,국고채(3년),2.571,%,ECOS
2025-02-01,PF금리,국고채(3년) 수익률,국고채(3년),2.61,%,ECOS
2025-03-01,PF금리,국고채(3년) 수익률,국고채(3년),2.59,%,ECOS
2025-04-01,PF금리,국고채(3년) 수익률,국고채(3년),2.395,%,ECOS
2025-05-01,PF금리,국고채(3년) 수익률,국고채(3년),2.331,%,ECOS
2025-06-01,PF금리,국고채(3년) 수익률,국고채(3년),2.441,%,ECOS
2025-07-01,PF금리,국고채(3년) 수익률,국고채(3년),2.465,%,ECOS
2025-08-01,PF금리,국고채(3년) 수익률,국고채(3년),2.427,%,ECOS
2025-09-01,PF금리,국고채(3년) 수익률,국고채(3년),2.464,%,ECOS
2025-10-01,PF금리,국고채(3년) 수익률,국고채(3년),2.601,%,ECOS
2025-11-01,PF금리,국고채(3년) 수익률,국고채(3년),2.88,%,ECOS
2025-12-01,PF금리,국고채(3년) 수익률,국고채(3년),3.01,%,ECOS
2026-01-01,PF금리,국고채(3년) 수익률,국고채(3년),3.044,%,ECOS
2026-02-01,PF금리,국고채(3년) 수익률,국고채(3년),3.167,%,ECOS
2026-03-01,PF금리,국고채(3년) 수익률,국고채(3년),3.378,%,ECOS
2026-04-01,PF금리,국고채(3년) 수익률,국고채(3년),3.413,%,ECOS
2026-05-01,PF금리,국고채(3년) 수익률,국고채(3년),3.682,%,ECOS
2026-06-01,PF금리,국고채(3년) 수익률,국고채(3년),3.794,%,ECOS
2026-07-01,PF금리,국고채(3년) 수익률,국고채(3년),3.831,%,ECOS
2015-01-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.356,%,ECOS
2015-02-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.3,%,ECOS
2015-03-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.128,%,ECOS
2015-04-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.988,%,ECOS
2015-05-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.115,%,ECOS
2015-06-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.012,%,ECOS
2015-07-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.001,%,ECOS
2015-08-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.98,%,ECOS
2015-09-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.946,%,ECOS
2015-10-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.962,%,ECOS
2015-11-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.118,%,ECOS
2015-12-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.143,%,ECOS
2016-01-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.091,%,ECOS
2016-02-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.95,%,ECOS
2016-03-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.979,%,ECOS
2016-04-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.94,%,ECOS
2016-05-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.91,%,ECOS
2016-06-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.789,%,ECOS
2016-07-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.65,%,ECOS
2016-08-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.645,%,ECOS
2016-09-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.704,%,ECOS
2016-10-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",1.781,%,ECOS
2016-11-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.021,%,ECOS
2016-12-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.162,%,ECOS
2017-01-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.104,%,ECOS
2017-02-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.129,%,ECOS
2017-03-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.208,%,ECOS
2017-04-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.195,%,ECOS
2017-05-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.216,%,ECOS
2017-06-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.208,%,ECOS
2017-07-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.278,%,ECOS
2017-08-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.32,%,ECOS
2017-09-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.333,%,ECOS
2017-10-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.574,%,ECOS
2017-11-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.709,%,ECOS
2017-12-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.649,%,ECOS
2018-01-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.722,%,ECOS
2018-02-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.815,%,ECOS
2018-03-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.831,%,ECOS
2018-04-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.794,%,ECOS
2018-05-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.86,%,ECOS
2018-06-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.805,%,ECOS
2018-07-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.75,%,ECOS
2018-08-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.656,%,ECOS
2018-09-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.403,%,ECOS
2018-10-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.452,%,ECOS
2018-11-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.403,%,ECOS
2018-12-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.304,%,ECOS
2019-01-01,PF금리,"회사채(3년, AA-) 수익률","회사채(3년, AA-)",2.263,%,ECOS
